Directory Name,Species,Common name,Other species names,Species Taxonomy ID,Taxonomic Lineage,Assembly name,NCBI accession,Source of assembly,NCBI assembly name,NCBI assembly status,Assembly submission date,Assembly submitter organization,contig N50 (bp),scaffold N50 (bp),No. ancestral genes with intact ORF,No. ancestral genes with inactivating mutations,No. ancestral genes with missing sequences
Neoeptesicus_chiriquinus__Chiriquinan_serotine__HLneoChir1B__GCA_054099605.1,Neoeptesicus chiriquinus,Chiriquinan serotine,Eptesicus chiriquinus,3371121,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Neoeptesicus,HLneoChir1B,GCA_054099605.1,NCBI,mEptChi1.hap2,Chromosome,2025-12-18,Bat1K Project,51935836,102867081,14212.0,419.0,565.0
Neoeptesicus_furinalis__Argentine_brown_bat__HLneoFuri1A__GCA_054644455.1,Neoeptesicus furinalis,Argentine brown bat,"Vespertilio furinalis,Eptesicus furinalis",3371123,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Neoeptesicus,HLneoFuri1A,GCA_054644455.1,NCBI,mEptFur1.hap1,Chromosome,2026-01-22,Bat1K Project,55411905,103997655,14876.0,297.0,23.0
Nyctalus_aviator__birdlike_noctule__HLnycAvi1__GCA_036971965.1,Nyctalus aviator,birdlike noctule,,187010,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Nyctalus,HLnycAvi1,GCA_036971965.1,NCBI,NENU_Navi_1.0,Chromosome,2024-03-06,Northeast Normal University,61249120,101856247,14770.0,368.0,58.0
Nyctalus_leisleri__Lesser_noctule__HLnycLei1A__GCA_964264875.1,Nyctalus leisleri,Lesser noctule,Vespertilio Leisleri,59465,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Nyctalus,HLnycLei1A,GCA_964264875.1,NCBI,mNycLei1.hap1.1,Chromosome,2024-09-21,WELLCOME SANGER INSTITUTE,1871731,90881000,14650.0,418.0,128.0
Nyctalus_leisleri__Lesser_noctule__HLnycLei1B__GCA_964264895.1,Nyctalus leisleri,Lesser noctule,Vespertilio Leisleri,59465,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Nyctalus,HLnycLei1B,GCA_964264895.1,NCBI,mNycLei1.hap2.1,Scaffold,2024-09-21,WELLCOME SANGER INSTITUTE,1846178,87604689,14134.0,449.0,613.0
Nyctalus_leisleri__Lesser_noctule__HLnycLeis2A__GCA_964264875.2,Nyctalus leisleri,Lesser noctule,Vespertilio leisleri,59465,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Nyctalus,HLnycLeis2A,GCA_964264875.2,NCBI,mNycLei1.hap1.2,Chromosome,2025-04-03,WELLCOME SANGER INSTITUTE,26125689,95320580,14785.0,350.0,61.0
Nyctalus_leisleri__Lesser_noctule__HLnycLeis2B__GCA_964264895.2,Nyctalus leisleri,Lesser noctule,Vespertilio leisleri,59465,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Nyctalus,HLnycLeis2B,GCA_964264895.2,NCBI,mNycLei1.hap2.2,Scaffold,2025-04-02,WELLCOME SANGER INSTITUTE,28373864,91354900,14246.0,381.0,569.0
Nycticeius_humeralis__evening_bat__HLnycHum2__GCA_007922795.1,Nycticeius humeralis,evening bat,,27670,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Nycticeius,HLnycHum2,GCA_007922795.1,NCBI,NycHum_v1_BIUU,Scaffold,2019-08-08,Broad Institute,14267,15095,10219.0,1686.0,3291.0
Pipistrellus_abramus__Japanese_house_bat__HLpipAbr1__GCA_044885105.1,Pipistrellus abramus,Japanese house bat,"Pipistrellys abramus,Vespertilio abramus",105295,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Pipistrellus,HLpipAbr1,GCA_044885105.1,NCBI,ASM4488510v1,Chromosome,2024-11-13,East China Normal University,60509936,184650038,14431.0,708.0,57.0
Pipistrellus_hanaki__Hanakis_dwarf_bat__HLpipHan1__GCA_964339955.1,Pipistrellus hanaki,Hanakis dwarf bat,,412090,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Pipistrellus,HLpipHan1,GCA_964339955.1,NCBI,mPipHan1.1,Chromosome,2024-11-14,Genoscope CEA,48700701,89115682,14528.0,597.0,71.0
Pipistrellus_kuhlii__Kuhls_pipistrelle__HLpipKuh2__GCA_014108245.1,Pipistrellus kuhlii,Kuhls pipistrelle,Pipistrellus kuhli,59472,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Pipistrellus,HLpipKuh2,GCA_014108245.1,"NCBI, Bat1K",,,2019-04-16,,10239182,80237350,14667.0,430.0,99.0
Pipistrellus_nathusii__Nathusiuss_pipistrelle__HLpipNat1A__GCA_963693515.1,Pipistrellus nathusii,Nathusiuss pipistrelle,"Pipistrellus nathusius,Vespertilio nathusii",59473,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Pipistrellus,HLpipNat1A,GCA_963693515.1,"NCBI, Camila Mazzoni",,,2023-10-14,,17739480,97242187,14801.0,337.0,58.0
Pipistrellus_nathusii__Nathusiuss_pipistrelle__HLpipNat1B__GCA_963693525.1,Pipistrellus nathusii,Nathusiuss pipistrelle,"Pipistrellus nathusius,Vespertilio nathusii",59473,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Pipistrellus,HLpipNat1B,GCA_963693525.1,"NCBI, Camila Mazzoni",,,2023-10-14,,19092895,86738551,14261.0,371.0,564.0
Pipistrellus_nathusii__Nathusiuss_pipistrelle__HLpipNath2A__GCA_964656225.2,Pipistrellus nathusii,Nathusiuss pipistrelle,"Vespertilio nathusii,Pipistrellus nathusius",59473,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Pipistrellus,HLpipNath2A,GCA_964656225.2,NCBI,mPipNat1.hap1.2,Chromosome,2025-05-07,WELLCOME SANGER INSTITUTE,25164913,89973277,14709.0,405.0,82.0
Pipistrellus_pipistrellus__common_pipistrelle__HLpipPip1__GCA_004026625.1,Pipistrellus pipistrellus,common pipistrelle,Vespertilio pipistrellus,59474,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Pipistrellus,HLpipPip1,GCA_004026625.1,NCBI,PipPip_v1_BIUU,Scaffold,2019-01-16,Broad Institute,26707,33992,11766.0,1150.0,2280.0
Pipistrellus_pipistrellus__common_pipistrelle__HLpipPip2__GCA_903992545.1,Pipistrellus pipistrellus,common pipistrelle,Vespertilio pipistrellus,59474,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Pipistrellus,HLpipPip2,GCA_903992545.1,NCBI,mPipPip1.1,Chromosome,2020-08-06,SC,4446752,94929986,12791.0,1979.0,426.0
Pipistrellus_pipistrellus__Common_pipistrelle__HLpipPipi3A__GCA_965203405.2,Pipistrellus pipistrellus,Common pipistrelle,Vespertilio pipistrellus,59474,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Pipistrellus,HLpipPipi3A,GCA_965203405.2,NCBI,mPipPip2.hap1.2,Chromosome,2025-04-09,WELLCOME SANGER INSTITUTE,18707992,92154671,14658.0,448.0,90.0
Pipistrellus_pipistrellus__Common_pipistrelle__HLpipPipi3B__GCA_965204225.2,Pipistrellus pipistrellus,Common pipistrelle,Vespertilio pipistrellus,59474,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Pipistrellus,HLpipPipi3B,GCA_965204225.2,NCBI,mPipPip2.hap2.2,Scaffold,2025-04-09,WELLCOME SANGER INSTITUTE,26588741,88235013,14682.0,415.0,99.0
Pipistrellus_pygmaeus__soprano_pipistrelle__HLpipPyg1__GCA_949987585.1,Pipistrellus pygmaeus,soprano pipistrelle,Vespertilio pygmaeus,246814,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Pipistrellus,HLpipPyg1,GCA_949987585.1,NCBI,mPipPyg2.1,Chromosome,2023-05-01,WELLCOME SANGER INSTITUTE,54047000,89507134,14770.0,379.0,47.0
Plecotus_auritus__brown_big-eared_bat__HLpleAur1__GCA_963455305.1,Plecotus auritus,brown big-eared bat,Vespertilio auritus,61862,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Plecotus,HLpleAur1,GCA_963455305.1,NCBI,mPleAur1.1,Chromosome,2023-09-20,WELLCOME SANGER INSTITUTE,2948753,186501726,14882.0,286.0,28.0
Plecotus_auritus__brown_big-eared_bat__HLpleAur2,Plecotus auritus,brown big-eared bat,Vespertilio auritus,61862,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Plecotus,HLpleAur2,Sciencedb https://doi.org/10.57760/sciencedb.11285,Sciencedb https://doi.org/10.57760/sciencedb.11285,,,2024-12-23,,45177,169840672,12337.0,970.0,1889.0
Tylonycteris_robustula__Greater_bamboo_bat__HLtylRobu1__GCA_055860955.1,Tylonycteris robustula,Greater bamboo bat,,526822,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Tylonycteris,HLtylRobu1,GCA_055860955.1,NCBI,ASM5586095v1,Chromosome,2026-03-13,Chinese Academy of Sciences,43459562,181107895,14732.0,413.0,51.0
Vespertilio_murinus__particolored_bat__HLvesMur1__GCA_963924515.1,Vespertilio murinus,particolored bat,,59485,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Vespertilio,HLvesMur1,GCA_963924515.1,NCBI,mVesMur1.1,Chromosome,2024-01-29,WELLCOME SANGER INSTITUTE,3319810,186292382,14722.0,412.0,62.0
Vespertilio_murinus__Particolored_bat__HLvesMuri2A__GCA_963924515.2,Vespertilio murinus,Particolored bat,,59485,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Vespertilio,HLvesMuri2A,GCA_963924515.2,NCBI,mVesMur1.hap1.2,Chromosome,2025-04-09,WELLCOME SANGER INSTITUTE,48719070,187164881,14785.0,358.0,53.0
Vespertilio_murinus__Particolored_bat__HLvesMuri2B__GCA_963924695.2,Vespertilio murinus,Particolored bat,,59485,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Vespertilio,HLvesMuri2B,GCA_963924695.2,NCBI,mVesMur1.hap2.2,Scaffold,2025-04-09,WELLCOME SANGER INSTITUTE,42377883,186628349,14269.0,391.0,536.0
Cynopterus_brachyotis__lesser_short-nosed_fruit_bat__HLcynBra1__GCA_009793145.1,Cynopterus brachyotis,lesser short-nosed fruit bat,,58060,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Cynopterinae; Cynopterus,HLcynBra1,GCA_009793145.1,NCBI,ASM979314v1,Scaffold,2019-12-23,National University of Singapore,16627,251278,9484.0,1683.0,4029.0
Cynopterus_sphinx__Indian_short-nosed_fruit_bat__HLcynSph1__GCA_030015415.1,Cynopterus sphinx,Indian short-nosed fruit bat,"greater short-nosed fruit bat,Vespertilio sphinx",9400,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Cynopterinae; Cynopterus,HLcynSph1,GCA_030015415.1,NCBI,ASM3001541v1,Chromosome,2023-05-16,Wuhan University,84235024,145152962,14850.0,330.0,16.0
Macroglossus_sobrinus__Long-tongued_fruit_bat__HLmacSob1__GCA_004027375.1,Macroglossus sobrinus,Long-tongued fruit bat,,326083,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Macroglossinae; Macroglossus,HLmacSob1,GCA_004027375.1,NCBI,MacSob_v1_BIUU,Scaffold,2019-01-16,Broad Institute,338389,453401,14387.0,460.0,349.0
Eidolon_dupreanum__Malagasy_straw-colored_fruit_bat__HLeidDup1__GCA_028627145.1,Eidolon dupreanum,Malagasy straw-colored fruit bat,"Eidolon dupraenum,Eidolon helvum dupraenum",58063,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Eidolon,HLeidDup1,GCA_028627145.1,DNA Zoo Consortium,,,2020-10-15,,108606,101563129,12849.0,856.0,1491.0
Eidolon_helvum__straw-colored_fruit_bat__HLeidHel2,Eidolon helvum,straw-colored fruit bat,,77214,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Eidolon,HLeidHel2,DNA Zoo Consortium,DNA Zoo Consortium,,,2019-02-06,,12384,81966912,9010.0,3123.0,3063.0
Pteropus_medius__Indian_flying_fox__HLpteGig1__GCA_902729225.1,Pteropus medius,Indian flying fox,"greater Indian fruit bat,Pteropus medius",143291,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Pteropus,HLpteGig1,GCA_902729225.1,NCBI,Ma_sr-lr_union100,Scaffold,2020-04-15,CIRI-Inserm-U1111,255763,18871253,14142.0,707.0,347.0
Pteropus_pselaphon__Bonin_flying_fox__HLptePse1__GCA_014363405.1,Pteropus pselaphon,Bonin flying fox,,1496133,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Pteropus,HLptePse1,GCA_014363405.1,NCBI,P_pselaphon_scaffold_01,Scaffold,2020-08-23,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",394964,770409,14749.0,315.0,132.0
Pteropus_rodricensis__Rodriguez_flying_fox__HLpteRod1,Pteropus rodricensis,Rodriguez flying fox,,77216,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Pteropus,HLpteRod1,DNA Zoo Consortium,DNA Zoo Consortium,,,2022-05-16,,322735,113379815,14485.0,338.0,373.0
Pteropus_rufus__Malagasy_flying_fox__HLpteRuf1__GCA_028533765.1,Pteropus rufus,Malagasy flying fox,,196297,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Pteropus,HLpteRuf1,GCA_028533765.1,DNA Zoo Consortium,,,2020-07-09,,213552,110476781,14125.0,445.0,626.0
Pteropus_rufus__Malagasy_flying_fox__HLpteRufu2A__GCA_056363885.1,Pteropus rufus,Malagasy flying fox,,196297,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Pteropus,HLpteRufu2A,GCA_056363885.1,NCBI,mPteRuf1.hap1,Chromosome,2026-03-27,Vertebrate Genomes Project,50994562,120032851,14982.0,209.0,5.0
Pteropus_vampyrus__large_flying_fox__HLpteVam3,Pteropus vampyrus,large flying fox,,132908,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Pteropus,HLpteVam3,DNA Zoo Consortium,DNA Zoo Consortium,,,2021-02-02,,19141,123279187,13881.0,606.0,709.0
Pteropus_alecto__black_flying_fox__pteAle1__GCF_000325575.1,Pteropus alecto,black flying fox,,9402,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Pteropus,pteAle1,GCF_000325575.1,NCBI,ASM32557v1,Scaffold,2013-12-04,BGI,31841,15954802,13417.0,1282.0,497.0
Rousettus_aegyptiacus__Egyptian_rousette__HLrouAeg4__GCA_014176215.1,Rousettus aegyptiacus,Egyptian rousette,"Rousettus egyptiacus,Rousettus aegypticus",9407,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Rousettinae; Rousettus,HLrouAeg4,GCA_014176215.1,"NCBI, Bat1K",,,2019-10-14,,21756723,113811795,14892.0,285.0,19.0
Rousettus_leschenaultii__Leschenaults_rousette__HLrouLes1__GCA_015472975.1,Rousettus leschenaultii,Leschenaults rousette,Rousettus leschenaulti,9408,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Rousettinae; Rousettus,HLrouLes1,GCA_015472975.1,NCBI,rouLes_1.0,Scaffold,2020-10-30,"Comparative Genomics Laboratory, Center for Information Biology, National Institute of Genetics",40477,32720144,14866.0,292.0,38.0
Rousettus_leschenaultii__Leschenaults_rousette__HLrouLesc2A__GCA_053538355.1,Rousettus leschenaultii,Leschenaults rousette,"Pteropus leschenaultii, 1820),Rousettus leschenaultii (Desmarest",9408,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Rousettinae; Rousettus,HLrouLesc2A,GCA_053538355.1,NCBI,ASM5353835v1,Chromosome,2025-11-18,SOUTHERN MARINE SCIENCE AND ENGINEERING GUANGDONG LABORATORY (GUANGZHOU),86068516,116991804,14912.0,275.0,9.0
Rousettus_madagascariensis__Madagascan_rousette__HLrouMad1__GCA_028533395.1,Rousettus madagascariensis,Madagascan rousette,,77223,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Rousettinae; Rousettus,HLrouMad1,GCA_028533395.1,DNA Zoo Consortium,,,2020-08-01,,63376,85834856,12395.0,942.0,1859.0
Craseonycteris_thonglongyai__hog-nosed_bat__HLcraTho1__GCA_004027555.1,Craseonycteris thonglongyai,hog-nosed bat,,208972,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Craseonycteridae; Craseonycteris,HLcraTho1,GCA_004027555.1,NCBI,CraTho_v1_BIUU,Scaffold,2019-01-16,Broad Institute,23218,25762,13418.0,637.0,1141.0
Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto2__GCA_043727835.1,Aselliscus stoliczkanus,Stoliczkas trident bat,Stoliczka's Asian trident bat,188568,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Aselliscus,HLaseSto2,GCA_043727835.1,"NCBI, Bat1K",,,2021-10-02,,64984936,162130651,14906.0,285.0,5.0
Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1,Aselliscus stoliczkanus,Stoliczkas trident bat,"Stoliczka's Asian trident bat,Asellia stoliczkana",188568,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Aselliscus,HLaseSto4,GCA_033961575.1,NCBI,ASM3396157v1,Chromosome,2023-11-28,East China Normal University,73009000,162004500,14914.0,271.0,11.0
Doryrhina_cyclops__cyclops_roundleaf_bat__HLhipCyc2__GCA_043880285.1,Doryrhina cyclops,cyclops roundleaf bat,Hipposideros cyclops,249021,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Doryrhina,HLhipCyc2,GCA_043880285.1,"NCBI, Bat1K",,,2021-10-02,,14255823,154073572,14906.0,265.0,25.0
Hipposideros_armiger__great_roundleaf_bat__HLhipArm1__GCA_001890085.1,Hipposideros armiger,great roundleaf bat,"great leaf-nosed bat,great Himalayan leaf-nosed bat",186990,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Hipposideros,HLhipArm1,GCA_001890085.1,NCBI,ASM189008v1,Scaffold,2016-12-06,SKLEC & IECR,39863,2328177,12552.0,616.0,2028.0
Hipposideros_galeritus__Cantors_roundleaf_bat__HLhipGal1__GCA_004027415.1,Hipposideros galeritus,Cantors roundleaf bat,,58069,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Hipposideros,HLhipGal1,GCA_004027415.1,NCBI,HipGal_v1_BIUU,Scaffold,2019-01-16,Broad Institute,33704,37985,13581.0,588.0,1027.0
Hipposideros_pendleburyi__Pendleburys_leaf-nosed_bat__HLhipPen1__GCA_021464545.1,Hipposideros pendleburyi,Pendleburys leaf-nosed bat,Hipposideros turpis pendelburyi,867831,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Hipposideros,HLhipPen1,GCA_021464545.1,NCBI,ASM2146454v1,Scaffold,2022-01-14,National Science and Technology Development Agency,72646,15398518,14523.0,473.0,200.0
Hipposideros_larvatus__Intermediate_roundleaf_bat__HLhipLar2__GCA_043727955.1,Hipposideros larvatus,Intermediate roundleaf bat,,175524,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Hipposideros; Hipposideros larvatus sensu lato,HLhipLar2,GCA_043727955.1,"NCBI, Bat1K",,,2021-10-06,,19276934,176501180,15001.0,184.0,11.0
Hipposideros_larvatus__Intermediate_roundleaf_bat__HLhipLar3,Hipposideros larvatus,Intermediate roundleaf bat,Rhinolophus larvatus,175524,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Hipposideridae; Hipposideros; Hipposideros larvatus sensu lato,HLhipLar3,Sciencedb https://doi.org/10.57760/sciencedb.11285,Sciencedb https://doi.org/10.57760/sciencedb.11285,,,2024-12-23,,32329,118242423,12232.0,938.0,2026.0
Lyroderma_lyra__Indian_false_vampire__HLmegLyr2__GCA_004026885.1,Lyroderma lyra,Indian false vampire,"Megaderma lyra, greater false vampire bat",3371112,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Megadermatidae; Lyroderma,HLmegLyr2,GCA_004026885.1,NCBI,MegLyr_v1_BIUU,Scaffold,2019-01-16,Broad Institute,71674,96489,14369.0,408.0,419.0
Macroderma_gigas__Australian_ghost_bat__HLmacGiga1__GCA_055471755.1,Macroderma gigas,Australian ghost bat,"Megaderma gigas,Australian giant false vampire,Australian false vampire bat",9411,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Megadermatidae; Macroderma,HLmacGiga1,GCA_055471755.1,NCBI,mMacGig1.2_20250303,Scaffold,2026-02-24,The University of Sydney,37658598,100011104,14761.0,412.0,23.0
Megaderma_spasma__lesser_false_vampire_bat__HLmegSpa1__GCA_043880595.1,Megaderma spasma,lesser false vampire bat,,9414,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Megadermatidae; Megaderma,HLmegSpa1,GCA_043880595.1,"NCBI, Bat1K",,,2021-12-23,,25520250,120949103,14500.0,684.0,12.0
Rhinolophus_affinis__intermediate_horseshoe_bat__HLrhiAff2__GCA_043728065.1,Rhinolophus affinis,intermediate horseshoe bat,,59477,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus,HLrhiAff2,GCA_043728065.1,"NCBI, Bat1K",,,2021-10-03,,65534120,85365043,15011.0,179.0,6.0
Rhinolophus_affinis__Intermediate_horseshoe_bat__HLrhiAff4__GCA_040057535.1,Rhinolophus affinis,Intermediate horseshoe bat,,59477,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus,HLrhiAff4,GCA_040057535.1,NCBI,ASM4005753v1,Chromosome,2024-06-04,Shaanxi Normal University,201316,92909886,14092.0,753.0,351.0
Rhinolophus_clivosus__Geoffroys_horseshoe_bat__HLrhiCliv1A__GCA_054645015.1,Rhinolophus clivosus,Geoffroys horseshoe bat,,59478,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus,HLrhiCliv1A,GCA_054645015.1,NCBI,mRhiCli1.hap1,Chromosome,2026-01-22,Bat1K Project,68120538,93247554,15006.0,182.0,8.0
Rhinolophus_ferrumequinum__greater_horseshoe_bat__HLrhiFer5__GCA_014108255.1,Rhinolophus ferrumequinum,greater horseshoe bat,,59479,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus,HLrhiFer5,GCA_014108255.1,"NCBI, Bat1K",,,2019-04-28,,21749602,91996154,14922.0,227.0,47.0
Rhinolophus_ferrumequinum__greater_horseshoe_bat__HLrhiFer6__GCF_004115265.1,Rhinolophus ferrumequinum,greater horseshoe bat,,59479,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus,HLrhiFer6,GCF_004115265.1,NCBI,mRhiFer1_v1.p,Chromosome,2019-05-16,Vertebrate Genomes Project,31900497,88025743,14649.0,527.0,20.0
Rhinolophus_hipposideros__Lesser_horseshoe_bat__HLrhiHip1A__GCA_964194185.1,Rhinolophus hipposideros,Lesser horseshoe bat,Vespertilio hipposideros,77218,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus,HLrhiHip1A,GCA_964194185.1,NCBI,mRhiHip2.hap1.1,Chromosome,2024-06-28,WELLCOME SANGER INSTITUTE,2014157,88364482,14891.0,236.0,69.0
