Species,Common_Name,Directory_Name,NCBI_Accession,Assembly_Status,Contig_N50,Scaffold_N50,Intact_ORFs
Pygathrix nigripes,Black-shanked douc langur,Pygathrix_nigripes__Black-shanked_douc_langur__HLpygNig1__GCA_023764695.1,GCA_023764695.1,Contig,14260291,14260291,11233.0
Pygoscelis adeliae,Adelie penguin,Pygoscelis_adeliae__Adelie_penguin__pygAde1__GCF_000699105.1,GCF_000699105.1,Scaffold,22195,5118896,
Pygoscelis antarcticus,chinstrap penguin,Pygoscelis_antarcticus__chinstrap_penguin__HLpygAnt1__GCA_010078415.1,GCA_010078415.1,Scaffold,136952,6271244,
Pygoscelis papua,Gentoo penguin,Pygoscelis_papua__Gentoo_penguin__HLpygPap1__GCA_010090195.1,GCA_010090195.1,Scaffold,101329,2789995,
Pyrgilauda ruficollis,rufous-necked snowfinch,Pyrgilauda_ruficollis__rufous-necked_snowfinch__HLpyrRuf1__GCF_017590135.1,GCF_017590135.1,Scaffold,660259,9601729,
Pyrocephalus nanus,Galapagos flycatcher,Pyrocephalus_nanus__Galapagos_flycatcher__HLpyrNan1__GCA_038380795.1,GCA_038380795.1,Chromosome,17811915,74038366,
Pyrrhula murina,Azores bullfinch,Pyrrhula_murina__Azores_bullfinch__HLpyrMuri1__GCA_965183895.1,GCA_965183895.1,Chromosome,64819875,76036967,
Pyrrhura cruentata,Blue-throated parakeet,Pyrrhura_cruentata__Blue-throated_parakeet__HLpyrCru1__GCA_016545565.1,GCA_016545565.1,Scaffold,100025,11488115,
Pyrrhura frontalis,maroon-bellied parakeet,Pyrrhura_frontalis__maroon-bellied_parakeet__HLpyrFro1__GCA_010014865.1,GCA_010014865.1,Scaffold,86226,18208294,
Pyrrhura griseipectus,Gray-breasted parakeet,Pyrrhura_griseipectus__Gray-breasted_parakeet__HLpyrGri1__GCA_010014965.1,GCA_010014965.1,Scaffold,57804,4077983,
Pyrrhura lepida,Pearly parakeet,Pyrrhura_lepida__Pearly_parakeet__HLpyrLep1__GCA_015163975.1,GCA_015163975.1,Scaffold,70170,2531370,
Pyrrhura molinae,Green-cheeked parakeet,Pyrrhura_molinae__Green-cheeked_parakeet__HLpyrMol1__GCA_011763355.1,GCA_011763355.1,Scaffold,82819,4671993,
Pyrrhura perlata,Crimson bellied conure,Pyrrhura_perlata__Crimson_bellied_conure__HLpyrPer1__GCA_011763455.1,GCA_011763455.1,Scaffold,101886,3731728,
Quiscalus major,Boat-tailed grackle,Quiscalus_major__Boat-tailed_grackle__HLquiMajo1A__GCA_047301405.1,GCA_047301405.1,Scaffold,3214539,70945146,
Quiscalus mexicanus,Great-tailed grackle,Quiscalus_mexicanus__Great-tailed_grackle__HLquiMex1__GCA_013399035.1,GCA_013399035.1,Scaffold,60532,93215,
Rafetus swinhoei,Swinhoes soft-shelled turtle,Rafetus_swinhoei__Swinhoes_soft-shelled_turtle__HLrafSwi1__GCA_019425775.1,GCA_019425775.1,Chromosome,30963999,131976892,
Rallus aquaticus,Water rail,Rallus_aquaticus__Water_rail__HLralAqua1__GCA_965250365.1,GCA_965250365.1,Chromosome,4112000,86795660,
Rallus limicola,Virginia rail,Rallus_limicola__Virginia_rail__HLralLim1__GCA_022605955.1,GCA_022605955.1,Scaffold,11906378,25302669,
Ramphastos sulfuratus,Keel billed toucan,Ramphastos_sulfuratus__Keel_billed_toucan__HLramSul1__GCA_013399055.1,GCA_013399055.1,Scaffold,38620,85980,
Ramphastos toco,Toco toucan,Ramphastos_toco__Toco_toucan__HLramToco1__GCA_040967075.1,GCA_040967075.1,Scaffold,10117,32078995,
Rangifer tarandus granti,reindeer,Rangifer_tarandus_granti__reindeer__HLranTarGra2__GCA_014898785.1,GCA_014898785.1,Scaffold,231342,9347320,14733.0
Rangifer tarandus platyrhynchus,Svalbard reindeer,Rangifer_tarandus_platyrhynchus__Svalbard_reindeer__HLranTaraPla3__GCA_949782905.1,GCA_949782905.1,Chromosome,22482685,69829200,15026.0
Raphicerus campestris,steenbok,Raphicerus_campestris__steenbok__HLrapCam1__GCA_006410735.1,GCA_006410735.1,Scaffold,25050,537161,10266.0
Rattus norvegicus,Norway rat,Rattus_norvegicus__Norway_rat__HLratNor8__GCF_036323735.1,GCF_036323735.1,Chromosome,64250101,137014596,14874.0
Rattus rattus,black rat,Rattus_rattus__black_rat__HLratRat7__GCA_011064425.1,GCA_011064425.1,Chromosome,1635336,158824752,13682.0
Recurvirostra avosetta,Pied Avocet,Recurvirostra_avosetta__Pied_Avocet__HLrecAvo1__GCA_004023745.1,GCA_004023745.1,Scaffold,10462,96778,
Redunca redunca,Bohar reedbuck,Redunca_redunca__Bohar_reedbuck__HLredRed1__GCA_006410935.1,GCA_006410935.1,Scaffold,39282,423407,10795.0
Regulus satrapa,golden-crowned kinglet,Regulus_satrapa__golden-crowned_kinglet__HLregSat1__GCA_013396955.1,GCA_013396955.1,Scaffold,28936,363229,
Reithrodontomys megalotis longicaudus,Western harvest mouse,Reithrodontomys_megalotis_longicaudus__Western_harvest_mouse__HLreiMegLon1__GCA_043882965.1,GCA_043882965.1,Scaffold,9769554,98344793,14831.0
Rhabdomys dilectus,mesic four-striped grass rat,Rhabdomys_dilectus__mesic_four-striped_grass_rat__HLrhaDil1__GCA_019844195.1,GCA_019844195.1,Scaffold,27270,2320431,13571.0
Rhabdomys pumilio,Four-striped grass mouse,Rhabdomys_pumilio__Four-striped_grass_mouse__HLrhaPum1__GCA_030674055.1,GCA_030674055.1,Scaffold,45029,83564217,14436.0
Rhabdornis inornatus,Stripe-breasted rhabdornis,Rhabdornis_inornatus__Stripe-breasted_rhabdornis__HLrhaIno1__GCA_013397075.1,GCA_013397075.1,Scaffold,152176,1047454,
Rhadina sibilatrix,Wood Warbler,Rhadina_sibilatrix__Wood_Warbler__HLrhaSib1__GCA_013400275.1,GCA_013400275.1,Scaffold,38753,335188,
Rhagologus leucostigma,Mottled berryhunter,Rhagologus_leucostigma__Mottled_berryhunter__HLrhaLeu1__GCA_013397725.1,GCA_013397725.1,Scaffold,141346,1441581,
Rhea americana,greater rhea,Rhea_americana__greater_rhea__HLrheAme1__GCA_003343005.1,GCA_003343005.1,Scaffold,88762,3949999,
Rhea pennata,Lesser rhea,Rhea_pennata__Lesser_rhea__HLrhePen1__GCF_028389875.1,GCF_028389875.1,Chromosome,19335416,82467789,
Rhegmatorhina hoffmannsi,white-breasted antbird,Rhegmatorhina_hoffmannsi__white-breasted_antbird__HLrheHof1__GCA_013398505.1,GCA_013398505.1,Scaffold,73812,11805716,
Rhinoceros unicornis,greater Indian rhinoceros,Rhinoceros_unicornis__greater_Indian_rhinoceros__HLrhiUni1,DNA Zoo Consortium,,105321,56870999,14397.0
Rhinoclemmys areolata,Furrowed wood turtle,Rhinoclemmys_areolata__Furrowed_wood_turtle__HLrhiAreo1__GCA_044758505.1,GCA_044758505.1,Scaffold,12160,117835617,
Rhinolophus affinis,Intermediate horseshoe bat,Rhinolophus_affinis__Intermediate_horseshoe_bat__HLrhiAff4__GCA_040057535.1,GCA_040057535.1,Chromosome,201316,92909886,14092.0
Rhinolophus clivosus,Geoffroys horseshoe bat,Rhinolophus_clivosus__Geoffroys_horseshoe_bat__HLrhiCliv1A__GCA_054645015.1,GCA_054645015.1,Chromosome,68120538,93247554,15006.0
Rhinolophus ferrumequinum,greater horseshoe bat,Rhinolophus_ferrumequinum__greater_horseshoe_bat__HLrhiFer6__GCF_004115265.1,GCF_004115265.1,Chromosome,31900497,88025743,14649.0
Rhinolophus hipposideros,Lesser horseshoe bat,Rhinolophus_hipposideros__Lesser_horseshoe_bat__HLrhiHipp2A__GCA_964194215.2,GCA_964194215.2,Chromosome,44946000,89071765,14985.0
Rhinolophus perniger lanosus,Northern woolly horseshoe bat,Rhinolophus_perniger_lanosus__Northern_woolly_horseshoe_bat__HLrhiLuc4__GCA_043748575.1,GCA_043748575.1,,53323821,154900566,14948.0
Rhinolophus rex,king horseshoe bat,Rhinolophus_rex__king_horseshoe_bat__HLrhiRex1__GCA_041825415.1,GCA_041825415.1,Chromosome,75261663,94173463,15001.0
Rhinolophus sinicus,Chinese rufous horseshoe bat,Rhinolophus_sinicus__Chinese_rufous_horseshoe_bat__HLrhiSin4__GCA_036562045.1,GCA_036562045.1,Chromosome,42906106,166556632,14546.0
Rhinolophus trifoliatus,Trefoil horseshoe bat,Rhinolophus_trifoliatus__Trefoil_horseshoe_bat__HLrhiTri2__GCA_043728145.1,GCA_043728145.1,,11115074,184920896,14784.0
Rhinolophus yonghoiseni,Yong Hoi Sens woolly horseshoe bat,Rhinolophus_yonghoiseni__Yong_Hoi_Sens_woolly_horseshoe_bat__HLrhiSed2__GCA_043880425.1,GCA_043880425.1,,28095277,181652838,14854.0
Rhinopithecus bieti,black snub-nosed monkey,Rhinopithecus_bieti__black_snub-nosed_monkey__rhiBie1__GCF_001698545.1,GCF_001698545.1,Scaffold,36417,2225337,12475.0
Rhinopithecus roxellana,golden snub-nosed monkey,Rhinopithecus_roxellana__golden_snub-nosed_monkey__HLrhiRox2__GCA_007565055.1,GCA_007565055.1,Chromosome,5723610,144559847,14729.0
Rhinopithecus strykeri,Burmese snub-nosed monkey,Rhinopithecus_strykeri__Burmese_snub-nosed_monkey__HLrhiStr1__GCA_023764705.1,GCA_023764705.1,Contig,16766498,16766498,12278.0
Rhinopoma cystops,Egyptian mouse-tailed bat,Rhinopoma_cystops__Egyptian_mouse-tailed_bat__HLrhiCyst1A__GCA_055761895.1,GCA_055761895.1,Chromosome,31224982,160986869,14973.0
Rhinopoma microphyllum,Greater mouse-tailed bat,Rhinopoma_microphyllum__Greater_mouse-tailed_bat__HLrhiMic1__GCA_043880545.1,GCA_043880545.1,,33347918,146810189,14980.0
Rhinopomastus cyanomelas,common scimitar-bill,Rhinopomastus_cyanomelas__common_scimitar-bill__HLrhiCya1__GCA_013400115.1,GCA_013400115.1,Scaffold,114804,415862,
Rhinoptilus africanus,double-banded courser,Rhinoptilus_africanus__double-banded_courser__HLrhiAfr1__GCA_013400135.1,GCA_013400135.1,Scaffold,52916,382637,
Rhipidura dahli,Bismarck fantail,Rhipidura_dahli__Bismarck_fantail__HLrhiDah1__GCA_013399225.1,GCA_013399225.1,Scaffold,98056,789307,
Rhizomys pruinosus,hoary bamboo rat,Rhizomys_pruinosus__hoary_bamboo_rat__HLrhiPru1__GCA_009823505.1,GCA_009823505.1,Scaffold,103291,2203772,13361.0
Rhodinocichla rosea,Rosy thrush tanager,Rhodinocichla_rosea__Rosy_thrush_tanager__HLrhoRos1__GCA_013396575.1,GCA_013396575.1,Scaffold,29643,2545584,
Rhombomys opimus,great gerbil,Rhombomys_opimus__great_gerbil__HLrhoOpi1__GCA_010120015.1,GCA_010120015.1,Scaffold,56880,3610217,14129.0
Rhynchocyon petersi,Black and rufous elephant shrew,Rhynchocyon_petersi__Black_and_rufous_elephant_shrew__HLrhyPet1B__GCA_043290065.1,GCA_043290065.1,Chromosome,13791435,546604020,14364.0
Rhynchomys soricoides,Mount Data shrew rat,Rhynchomys_soricoides__Mount_Data_shrew_rat__HLrhySor1__GCA_019843965.1,GCA_019843965.1,Scaffold,79773,7860034,13897.0
Rhynchonycteris naso,Proboscis bat,Rhynchonycteris_naso__Proboscis_bat__HLrhyNas2B__GCA_037038555.1,GCA_037038555.1,Chromosome,108301702,288038771,14264.0
Rhynochetos jubatus,Kagu,Rhynochetos_jubatus__Kagu__HLrhyJuba2__GCA_027574665.1,GCA_027574665.1,Chromosome,10485863,63592491,
Riparia riparia,Sand martin,Riparia_riparia__Sand_martin__HLripRip1__GCA_020917445.1,GCA_020917445.1,Scaffold,43283,13690488,
Rissa tridactyla,black-legged kittiwake,Rissa_tridactyla__black-legged_kittiwake__HLrisTri2__GCF_028500815.1,GCF_028500815.1,Chromosome,15653959,88208671,
Rostratula benghalensis,greater painted-snipe,Rostratula_benghalensis__greater_painted-snipe__HLrosBen1__GCA_013399305.1,GCA_013399305.1,Scaffold,78725,3398382,
Rousettus aegyptiacus,Egyptian rousette,Rousettus_aegyptiacus__Egyptian_rousette__HLrouAeg4__GCA_014176215.1,GCA_014176215.1,,21756723,113811795,14892.0
Rousettus leschenaultii,Leschenaults rousette,Rousettus_leschenaultii__Leschenaults_rousette__HLrouLesc2A__GCA_053538355.1,GCA_053538355.1,Chromosome,86068516,116991804,14912.0
Rousettus madagascariensis,Madagascan rousette,Rousettus_madagascariensis__Madagascan_rousette__HLrouMad1__GCA_028533395.1,GCA_028533395.1,,63376,85834856,12395.0
Rucervus eldii siamensis,Elds deer,Rucervus_eldii_siamensis__Elds_deer__HLrucEldSia1__GCA_034233915.1,GCA_034233915.1,Scaffold,24835543,24616240,14588.0
Rupicapra rupicapra,Chamois,Rupicapra_rupicapra__Chamois__HLrupRup1__GCA_963981305.1,GCA_963981305.1,Chromosome,77662214,100920001,15044.0
Rusa alfredi,Visayan spotted deer,Rusa_alfredi__Visayan_spotted_deer__HLrusAlf1__GCA_038501445.1,GCA_038501445.1,Scaffold,45918,75199327,14606.0
Rynchops niger,black skimmer,Rynchops_niger__black_skimmer__HLrynNig1__GCA_013400035.1,GCA_013400035.1,Scaffold,57549,523074,
Saccopteryx bilineata,greater sac-winged bat,Saccopteryx_bilineata__greater_sac-winged_bat__HLsacBil1__GCF_036850765.1,GCF_036850765.1,,20047694,300074216,14809.0
Saccopteryx leptura,lesser sac-winged bat,Saccopteryx_leptura__lesser_sac-winged_bat__HLsacLep1__GCF_036850995.1,GCF_036850995.1,,17619988,224759591,14807.0
Sagittarius serpentarius,Secretarybird,Sagittarius_serpentarius__Secretarybird__HLsagSer1__GCA_013399415.1,GCA_013399415.1,Scaffold,36754,129671,
Sagmatias australis,Peales dolphin,Sagmatias_australis__Peales_dolphin__HLlagAus1,CNGB Sequence Archive,,41825,384955,13173.0
Sagmatias obliquidens,Pacific white-sided dolphin,Sagmatias_obliquidens__Pacific_white-sided_dolphin__HLlagObl2,DNA Zoo Consortium,,254944,107447310,14557.0
Saguinus imperator,tamarin,Saguinus_imperator__tamarin__HLsagImp1__GCA_004024885.1,GCA_004024885.1,Scaffold,53787,65636,13852.0
Saguinus midas,Midas tamarin,Saguinus_midas__Midas_tamarin__HLsagMid1__GCA_021498475.1,GCA_021498475.1,Chromosome,10987047,143273090,13605.0
Saguinus oedipus,Cotton-top tamarin,Saguinus_oedipus__Cotton-top_tamarin__HLsagOed1__GCA_031835075.1,GCA_031835075.1,Chromosome,91852676,148490209,15014.0
Saiga tatarica,saiga antelope,Saiga_tatarica__saiga_antelope__HLsaiTat1__GCA_004024985.1,GCA_004024985.1,Scaffold,6406,6453,7433.0
Saimiri boliviensis,Bolivian squirrel monkey,Saimiri_boliviensis__Bolivian_squirrel_monkey__HLsaiBoli4__GCA_048565385.1,GCA_048565385.1,Chromosome,69222429,129414808,15082.0
Saimiri boliviensis boliviensis,Bolivian squirrel monkey,Saimiri_boliviensis_boliviensis__Bolivian_squirrel_monkey__HLsaiBolBol3__GCF_016699345.2,GCF_016699345.2,Scaffold,4857773,87238321,14641.0
Saimiri sciureus,Common squirrel monkey,Saimiri_sciureus__Common_squirrel_monkey__HLsaiSci1__GCA_963573345.1,GCA_963573345.1,Scaffold,28615,28615,11318.0
Sakesphorus luctuosus,Glossy antshrike,Sakesphorus_luctuosus__Glossy_antshrike__HLsakLuc1__GCA_013396695.1,GCA_013396695.1,Scaffold,84116,564384,
Salpingotus crassicauda,Thick-tailed pygmy jerboa,Salpingotus_crassicauda__Thick-tailed_pygmy_jerboa__HLsalCra1__GCA_040869305.1,GCA_040869305.1,Contig,13709620,13709620,13969.0
Sapajus apella,Tufted capuchin,Sapajus_apella__Tufted_capuchin__HLsapApe1__GCA_009761245.1,GCA_009761245.1,Scaffold,144042,23742480,14627.0
Sapayoa aenigma,broad-billed sapayoa,Sapayoa_aenigma__broad-billed_sapayoa__HLsapAen1__GCA_013398745.1,GCA_013398745.1,Scaffold,60157,363559,
Sarcogyps calvus,Red-headed vulture,Sarcogyps_calvus__Red-headed_vulture__HLsarCalv1__GCA_040869245.1,GCA_040869245.1,Contig,28731705,28731705,
Sarcophilus harrisii,Tasmanian devil,Sarcophilus_harrisii__Tasmanian_devil__HLsarHarr3__GCA_048593225.1,GCA_048593225.1,Chromosome,4514036,645083750,11724.0
Sarcoramphus papa,King vulture,Sarcoramphus_papa__King_vulture__HLsarPapa1A__GCA_037962945.1,GCA_037962945.1,Chromosome,40899883,96420541,
Saxicola maurus maurus,Siberian stonechat,Saxicola_maurus_maurus__Siberian_stonechat__HLsaxMau1__GCA_900205225.1,GCA_900205225.1,Scaffold,96283,10035936,
Saxicola rubicola,European stonechat,Saxicola_rubicola__European_stonechat__HLsaxRubi1__GCA_045785025.1,GCA_045785025.1,Scaffold,139914,13820699,
Sayornis phoebe,Eastern phoebe,Sayornis_phoebe__Eastern_phoebe__HLsayPhoe1A__GCA_055470965.1,GCA_055470965.1,Chromosome,18464113,64623597,
Scalopus aquaticus,eastern mole,Scalopus_aquaticus__eastern_mole__HLscaAqu1__GCA_004024925.1,GCA_004024925.1,Scaffold,72421,94879,14172.0
Scaptochirus moschatus,Short-faced mole,Scaptochirus_moschatus__Short-faced_mole__HLscaMos1__GCA_042919465.1,GCA_042919465.1,Chromosome,67659624,110510357,14877.0
Sciurus carolinensis,gray squirrel,Sciurus_carolinensis__gray_squirrel__HLsciCar1__GCA_902686445.1,GCA_902686445.1,Chromosome,13975867,148229995,14157.0
Sciurus niger,fox squirrel,Sciurus_niger__fox_squirrel__HLsciNig1__GCA_020740815.1,GCA_020740815.1,Scaffold,182340,183784,13338.0
Sciurus vulgaris,Eurasian red squirrel,Sciurus_vulgaris__Eurasian_red_squirrel__HLsciVul1__GCA_902686455.1,GCA_902686455.1,Chromosome,16333633,153872958,14507.0
Sclerurus mexicanus,tawny-throated leaftosser,Sclerurus_mexicanus__tawny-throated_leaftosser__HLsclMex1__GCA_013396755.1,GCA_013396755.1,Scaffold,128486,1030170,
Scolopax rusticola,Eurasian woodcock,Scolopax_rusticola__Eurasian_woodcock__HLscoRust1__GCA_964304615.2,GCA_964304615.2,Chromosome,33298157,33678863,
Scopus umbretta,Hamerkop,Scopus_umbretta__Hamerkop__HLscoUmbr1__GCA_013400535.1,GCA_013400535.1,Scaffold,16158,32357,
Scotinomys teguina,Alstons brown mouse,Scotinomys_teguina__Alstons_brown_mouse__HLscoTegu1__GCA_049901635.1,GCA_049901635.1,Contig,1427988,1427988,13344.0
Scutisorex somereni,Hero shrew,Scutisorex_somereni__Hero_shrew__HLscuSome1__GCA_054737625.1,GCA_054737625.1,Scaffold,3169756,109823726,13920.0
Scytalopus superciliaris,White browed tapaculo,Scytalopus_superciliaris__White_browed_tapaculo__HLscySup1__GCA_013400415.1,GCA_013400415.1,Scaffold,60031,632025,
Selasphorus platycercus,Broad-tailed hummingbird,Selasphorus_platycercus__Broad-tailed_hummingbird__HLselPlat1__GCA_054372455.1,GCA_054372455.1,Chromosome,27428828,72349162,
Selasphorus sasin,Allens hummingbird,Selasphorus_sasin__Allens_hummingbird__HLselSasi1__GCA_043774175.1,GCA_043774175.1,Scaffold,13046376,74144985,
Semnopithecus entellus,Hanuman langur,Semnopithecus_entellus__Hanuman_langur__HLsemEnt1__GCA_004025065.1,GCA_004025065.1,Scaffold,25064,29955,12579.0
Serilophus lunatus,silver-breasted broadbill,Serilophus_lunatus__silver-breasted_broadbill__HLserLun1__GCA_013399895.1,GCA_013399895.1,Scaffold,89885,848514,
Serinus canaria,Common canary,Serinus_canaria__Common_canary__HLserCana3A__GCA_055764355.1,GCA_055764355.1,Chromosome,11621605,76898014,
Setophaga coronata coronata,myrtle warbler,Setophaga_coronata_coronata__myrtle_warbler__HLsetCorCor2__GCA_001746935.2,GCA_001746935.2,Chromosome,43576,71386623,
Setophaga kirtlandii,Kirtlands warbler,Setophaga_kirtlandii__Kirtlands_warbler__HLsetKir1__GCA_013399655.1,GCA_013399655.1,Scaffold,77437,583164,
Setophaga palmarum,Palm warbler,Setophaga_palmarum__Palm_warbler__HLsetPalm1__GCA_051176245.1,GCA_051176245.1,Scaffold,9559700,9559700,
Setophaga petechia,yellow warbler,Setophaga_petechia__yellow_warbler__HLsetPet1__GCA_024362935.1,GCA_024362935.1,Scaffold,6807045,21188473,
Setophaga striata,Blackpoll warbler,Setophaga_striata__Blackpoll_warbler__HLsetStri1__GCA_045784235.1,GCA_045784235.1,Scaffold,146435,29315148,
Sholicola albiventris,White-bellied shortwing,Sholicola_albiventris__White-bellied_shortwing__HLshoAlbi1__GCA_050043525.1,GCA_050043525.1,Scaffold,26829641,68641415,
Sialia sialis,eastern bluebird,Sialia_sialis__eastern_bluebird__HLsiaSia1__GCA_009812075.1,GCA_009812075.1,Scaffold,53982,32306702,
Sicista trizona,Hungarian birch mouse,Sicista_trizona__Hungarian_birch_mouse__HLsicTriz1A__GCA_982266845.1,GCA_982266845.1,Chromosome,10039119,239863222,14697.0
Sigmodon hispidus,Hispid cotton rat,Sigmodon_hispidus__Hispid_cotton_rat__HLsigHisp3__GCA_047301775.1,GCA_047301775.1,Chromosome,77390441,118707662,14807.0
Sitta carolinensis,White-breasted nuthatch,Sitta_carolinensis__White-breasted_nuthatch__HLsitCaro1A__GCA_054054645.1,GCA_054054645.1,Chromosome,12525117,45476553,
Sitta europaea,wood nuthatch,Sitta_europaea__wood_nuthatch__HLsitEur1__GCA_013400255.1,GCA_013400255.1,Scaffold,79571,660828,
Sminthopsis crassicaudata,fat-tailed dunnart,Sminthopsis_crassicaudata__fat-tailed_dunnart__HLsmiCra1,DNA Zoo Consortium,,8654000,578922139,
Smithornis capensis,African broadbill,Smithornis_capensis__African_broadbill__HLsmiCap1__GCA_013396465.1,GCA_013396465.1,Scaffold,67220,1785105,
Smutsia gigantea,Giant pangolin,Smutsia_gigantea__Giant_pangolin__HLsmuGig1__GCA_032199065.1,GCA_032199065.1,Scaffold,229536,230024,12597.0
Solenodon paradoxus,Hispaniolan solenodon,Solenodon_paradoxus__Hispaniolan_solenodon__HLsolPar1__GCA_004363575.1,GCA_004363575.1,Scaffold,236847,407682,14402.0
Somateria mollissima,Common eider,Somateria_mollissima__Common_eider__HLsomMoll1A__GCA_951411735.1,GCA_951411735.1,Chromosome,7862886,77552753,
Sorex araneus,European shrew,Sorex_araneus__European_shrew__HLsorAra3__GCF_027595985.1,GCF_027595985.1,Chromosome,4024507,374364821,14313.0
Sorex cinereus,cinereus shrew,Sorex_cinereus__cinereus_shrew__HLsorCin1__GCA_026122425.1,GCA_026122425.1,Scaffold,52203,2625934,10450.0
Sorex fumeus,smoky shrew,Sorex_fumeus__smoky_shrew__HLsorFum1__GCF_029834395.1,GCF_029834395.1,Contig,42400022,42400022,14285.0
Sorex hoyi,Pygmy shrew,Sorex_hoyi__Pygmy_shrew__HLsorHoyi1__GCA_051176035.1,GCA_051176035.1,Contig,7586340,7586340,13814.0
Sorex maritimensis,Maritime shrew,Sorex_maritimensis__Maritime_shrew__HLsorMar1__GCA_030324115.1,GCA_030324115.1,Scaffold,39490,105017,9783.0
Sorex ornatus,Ornate shrew,Sorex_ornatus__Ornate_shrew__HLsorOrn1A__GCA_041430695.1,GCA_041430695.1,Scaffold,15899521,115205878,14382.0
Sousa chinensis,Indo-pacific humpbacked dolphin,Sousa_chinensis__Indo-pacific_humpbacked_dolphin__HLsouChi1__GCA_007760645.1,GCA_007760645.1,Scaffold,113766,19436979,14152.0
Spatula clypeata,Northern shoveler,Spatula_clypeata__Northern_shoveler__HLspaClyp1A__GCA_977066335.1,GCA_977066335.1,Chromosome,3649032,76684505,
Spelaeornis formosus,spotted wren-babbler,Spelaeornis_formosus__spotted_wren-babbler__HLspeFor1__GCA_013398795.1,GCA_013398795.1,Scaffold,43159,1152566,
Speothos venaticus,Bush dog,Speothos_venaticus__Bush_dog__HLspeVen1__GCA_023170115.1,GCA_023170115.1,Scaffold,39174,111912,14332.0
Spermophilus citellus,European suslik,Spermophilus_citellus__European_suslik__HLspeCit1__GCA_964194105.1,GCA_964194105.1,Chromosome,3445081,155990855,15006.0
Spermophilus dauricus,Daurian ground squirrel,Spermophilus_dauricus__Daurian_ground_squirrel__HLspeDau1__GCA_002406435.1,GCA_002406435.1,Scaffold,34849,1761345,11513.0
Spheniscus demersus,Jackass penguin,Spheniscus_demersus__Jackass_penguin__HLsphDeme2A__GCA_050947425.1,GCA_050947425.1,Chromosome,18147389,88319617,
Spheniscus humboldti,Humboldts penguin,Spheniscus_humboldti__Humboldts_penguin__HLsphHumb2__GCA_027474245.1,GCA_027474245.1,Chromosome,13936613,89079306,
Spheniscus magellanicus,Magellanic penguin,Spheniscus_magellanicus__Magellanic_penguin__HLsphMag1__GCA_010076225.1,GCA_010076225.1,Scaffold,101702,12679469,
Spheniscus mendiculus,Galapagos penguin,Spheniscus_mendiculus__Galapagos_penguin__HLsphMen2__GCA_003264655.1,GCA_003264655.1,Scaffold,22339,5226231,
Spilogale gracilis,western spotted skunk,Spilogale_gracilis__western_spotted_skunk__HLspiGra1__GCA_004023965.1,GCA_004023965.1,Scaffold,63054,85970,14199.0
Spilogale interrupta,plains spotted skunk,Spilogale_interrupta__plains_spotted_skunk__HLspiInt1__GCA_023159085.1,GCA_023159085.1,Contig,16718385,16718385,14344.0
Spinus pinus,Pine siskin,Spinus_pinus__Pine_siskin__HLspiPinu1__GCA_053477405.1,GCA_053477405.1,Chromosome,19100671,63847955,
Spizaetus tyrannus,black hawk-eagle,Spizaetus_tyrannus__black_hawk-eagle__HLspiTyr1__GCA_013399215.1,GCA_013399215.1,Scaffold,72446,1501215,
Spizella passerina,Chipping sparrow,Spizella_passerina__Chipping_sparrow__HLspiPass1A__GCA_056783625.1,GCA_056783625.1,Chromosome,5183287,59987740,
Sporophila hypoxantha,tawny-bellied seedeater,Sporophila_hypoxantha__tawny-bellied_seedeater__HLspoHyp1__GCA_002167245.1,GCA_002167245.1,Scaffold,1043501,7965281,
Sporophila iberaensis,Ibera seedeater,Sporophila_iberaensis__Ibera_seedeater__HLspoIber1__GCA_053841595.1,GCA_053841595.1,Contig,47202461,47202461,
Staurotypus triporcatus,Mexican musk turtle,Staurotypus_triporcatus__Mexican_musk_turtle__HLstaTrip1__GCA_044707075.1,GCA_044707075.1,Chromosome,16372,111335768,
Steatornis caripensis,Oilbird,Steatornis_caripensis__Oilbird__HLsteCari4A__GCA_054099775.1,GCA_054099775.1,Chromosome,44324291,84204331,
Stenella attenuata,bridled dolphin,Stenella_attenuata__bridled_dolphin__HLsteAtt1,DNA Zoo Consortium,,48983,93377156,13707.0
Stenella clymene,Clymene dolphin,Stenella_clymene__Clymene_dolphin__HLsteCly1,DNA Zoo Consortium,,35184,75183736,13093.0
Stenella coeruleoalba,striped dolphin,Stenella_coeruleoalba__striped_dolphin__HLsteCoe1__GCA_951394435.1,GCA_951394435.1,Chromosome,3590204,105253534,14596.0
Stenella frontalis,Atlantic spotted dolphin,Stenella_frontalis__Atlantic_spotted_dolphin__HLsteFro1,DNA Zoo Consortium,,82553,97674026,14127.0
Stenella longirostris orientalis,spinner dolphin,Stenella_longirostris_orientalis__spinner_dolphin__HLsteLonOri1,DNA Zoo Consortium,,42958,90858316,13518.0
Steno bredanensis,rough-toothed dolphin,Steno_bredanensis__rough-toothed_dolphin__HLsteBre1,DNA Zoo Consortium,,59460,94897118,14043.0
Stercorarius parasiticus,Parasitic jaeger,Stercorarius_parasiticus__Parasitic_jaeger__HLstePar1__GCA_013396915.1,GCA_013396915.1,Scaffold,107045,644604,
Sterna hirundo,Common tern,Sterna_hirundo__Common_tern__HLsteHir1__GCA_009819605.1,GCA_009819605.1,Chromosome,22002498,85487239,
